,Unnamed: 0,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
4,4,18.08581,-15.9785,2377450,capital of a political entity,PPLC,Nouakchott
5,5,-12.34989,17.3031,3351640,first-order administrative division,ADM1,Bie Province
7,7,36.75,4.25,2475741,first-order administrative division,ADM1,Nationwide
8,8,36.25,3.91667,2502951,first-order administrative division,ADM1,Nationwide
9,9,36.66667,4.91667,2505325,first-order administrative division,ADM1,Nationwide
10,10,-24.60166,24.7281,8308627,populated place,PPL,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
11,11,-25.22435,25.67728,933521,populated place,PPL,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
12,12,-24.65451,25.90859,933773,capital of a political entity,PPLC,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
13,13,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
14,14,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
15,15,-24.76234,25.7995,7670702,second-order administrative division,ADM2,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
16,16,-22.51958,27.47254,7670710,second-order administrative division,ADM2,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
17,17,-24.60166,24.7281,8308627,populated place,PPL,Gaborone
18,18,-25.22435,25.67728,933521,populated place,PPL,Gaborone
19,19,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
20,20,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,Gaborone
21,21,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,Gaborone
22,22,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
23,23,-24.67083,25.90444,1106235,industrial area,INDS,Gaborone
26,26,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
27,27,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
31,31,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,Francistown
33,33,-22.38754,26.71077,933088,seat of a first-order administrative division,PPLA,"Serowe, Maun"
34,34,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,"Serowe, Maun"
37,37,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
39,39,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
