,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
0,18.08581,-15.9785,2377450,capital of a political entity,PPLC,
1,15.15846,-12.1843,2376719,seat of a first-order administrative division,PPLA,
2,16.61659,-11.40453,2378538,seat of a first-order administrative division,PPLA,
3,,,2378080,independent political entity,PCLI,
4,18.08581,-15.9785,2377450,capital of a political entity,PPLC,Nouakchott
5,-12.34989,17.3031,3351640,first-order administrative division,ADM1,Bie Province
6,-8.83682,13.23432,2240449,capital of a political entity,PPLC,
7,36.75,4.25,2475741,first-order administrative division,ADM1,Nationwide
8,36.25,3.91667,2502951,first-order administrative division,ADM1,Nationwide
9,36.66667,4.91667,2505325,first-order administrative division,ADM1,Nationwide
10,-24.60166,24.7281,8308627,populated place,PPL,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
11,-25.22435,25.67728,933521,populated place,PPL,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
12,-24.65451,25.90859,933773,capital of a political entity,PPLC,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
13,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
14,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
15,-24.76234,25.7995,7670702,second-order administrative division,ADM2,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
16,-22.51958,27.47254,7670710,second-order administrative division,ADM2,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone"
17,-24.60166,24.7281,8308627,populated place,PPL,Gaborone
18,-25.22435,25.67728,933521,populated place,PPL,Gaborone
19,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
20,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,Gaborone
21,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,Gaborone
22,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
23,-24.67083,25.90444,1106235,industrial area,INDS,Gaborone
24,,,2395170,independent political entity,PCLI,
25,,,933860,independent political entity,PCLI,
26,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
27,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
28,,,933860,independent political entity,PCLI,Gaborone
29,6.36536,2.41833,2394819,seat of government of a political entity,PPLG,
30,,,2395170,independent political entity,PCLI,
31,-21.16995,27.50788,933778,seat of a first-order administrative division,PPLA,Francistown
32,,,933860,independent political entity,PCLI,Francistown
33,-22.38754,26.71077,933088,seat of a first-order administrative division,PPLA,"Serowe, Maun"
34,-19.98333,23.41667,933366,seat of a first-order administrative division,PPLA,"Serowe, Maun"
35,,,933860,independent political entity,PCLI,
36,-22.52233,27.04883,11612602,power station,PS,
37,-24.76234,25.7995,7670702,second-order administrative division,ADM2,Gaborone
38,,,933860,independent political entity,PCLI,Gaborone
39,-24.65451,25.90859,933773,capital of a political entity,PPLC,Gaborone
